Wed Sep  2 08:38:51 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 22
Wed Sep  2 08:39:22 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 3 
Wed Sep  2 08:39:22 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 9 
Wed Sep  2 08:39:22 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:39:53 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 3 
Wed Sep  2 08:39:53 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 9 
Wed Sep  2 08:39:53 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:40:24 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 3 
Wed Sep  2 08:40:24 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 9 
Wed Sep  2 08:40:24 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:40:55 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 3 
Wed Sep  2 08:40:55 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:40:55 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:41:26 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 3 
Wed Sep  2 08:41:26 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:41:26 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:41:57 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 3 
Wed Sep  2 08:41:57 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:41:57 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:42:29 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 3 
Wed Sep  2 08:42:29 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:42:29 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:43:00 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 2 
Wed Sep  2 08:43:00 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:43:00 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:43:31 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 2 
Wed Sep  2 08:43:31 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:43:31 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:44:02 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:44:02 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:44:02 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:44:34 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:44:34 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:44:34 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:45:05 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:45:05 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:45:05 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:45:36 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:45:36 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:45:36 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 21
Wed Sep  2 08:46:07 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:46:07 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:46:07 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:46:07 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:46:38 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:46:38 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:46:38 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:46:38 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:47:09 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:47:09 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:47:09 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:47:09 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:47:40 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:47:40 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:47:40 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:47:40 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:48:11 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:48:11 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:48:11 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:48:11 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:48:42 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:48:42 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:48:42 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
Wed Sep  2 08:48:42 2020, Thursday, September 3, 2020, 8:30 AM - 9:30 AM, 20
Wed Sep  2 08:49:13 2020, Wednesday, September 2, 2020, 9:30 AM - 10:30 AM, 1 
Wed Sep  2 08:49:13 2020, Thursday, September 3, 2020, 7:30 AM - 8:30 AM, 1 
Wed Sep  2 08:49:13 2020, Thursday, September 3, 2020, 8:00 AM - 9:00 AM, 8 
